clip_id,speaker_id,corruption,severity,seed,clean_rms_db,corrupted_rms_db,clean_peak_dbfs,corrupted_peak_dbfs,snr_db,log_mel_distance
1272-128104-0004,spk_1272,additive_noise,severe,84442,-22.6288,-19.6211,-3.2681,-1.8549,0.0,24.955324
1272-128104-0004,spk_1272,clipping,mild,86443,-22.6288,-22.63,-3.2681,-4.437,49.7536,0.019059
1272-128104-0004,spk_1272,clipping,medium,91577,-22.6288,-22.8302,-3.2681,-9.1186,21.6211,1.380697
1272-128104-0004,spk_1272,clipping,severe,86995,-22.6288,-24.4723,-3.2681,-16.4782,9.4522,7.325655
1272-128104-0004,spk_1272,bandwidth,mild,91506,-22.6288,-23.1097,-3.2681,-3.6269,9.9828,9.504424
1272-128104-0004,spk_1272,bandwidth,medium,86640,-22.6288,-23.1357,-3.2681,-3.6186,9.6604,11.649705
1272-128104-0004,spk_1272,bandwidth,severe,82058,-22.6288,-23.167,-3.2681,-3.6514,9.4014,18.088751
1272-128104-0004,spk_1272,dropout,mild,82978,-22.6288,-22.63,-3.2681,-3.2681,35.6048,0.050421
1272-128104-0004,spk_1272,dropout,medium,89728,-22.6288,-22.6466,-3.2681,-3.2681,23.8861,0.238172
1272-128104-0004,spk_1272,dropout,severe,85146,-22.6288,-22.7034,-3.2681,-3.2681,17.6861,1.068727
1272-128104-0004,spk_1272,reverberation,mild,82733,-22.6288,-21.027,-3.2681,0.0,-3.7003,5.584439
1272-128104-0004,spk_1272,reverberation,medium,84379,-22.6288,-21.1787,-3.2681,0.0,-3.8093,9.497358
1272-128104-0004,spk_1272,reverberation,severe,83285,-22.6288,-21.4977,-3.2681,0.0,-3.3892,10.693799
1272-128104-0005,spk_1272,additive_noise,mild,96908,-23.7792,-23.7344,-5.932,-5.7333,20.0,9.661444
1272-128104-0005,spk_1272,additive_noise,medium,100170,-23.7792,-23.3607,-5.932,-5.8311,10.0,15.782821
1272-128104-0005,spk_1272,additive_noise,severe,97460,-23.7792,-20.7911,-5.932,-4.2179,0.0,23.847374
1272-128104-0005,spk_1272,clipping,mild,99461,-23.7792,-23.7792,-5.932,-5.932,100.0,0.0
1272-128104-0005,spk_1272,clipping,medium,104595,-23.7792,-23.8408,-5.932,-9.1186,28.1353,0.249128
1272-128104-0005,spk_1272,clipping,severe,100013,-23.7792,-24.9197,-5.932,-16.4782,12.167,5.347228
1272-128104-0005,spk_1272,bandwidth,mild,104524,-23.7792,-24.375,-5.932,-5.9941,9.1178,10.473653
1272-128104-0005,spk_1272,bandwidth,medium,99658,-23.7792,-24.3952,-5.932,-6.0144,8.8291,12.660903
1272-128104-0005,spk_1272,bandwidth,severe,95076,-23.7792,-24.4206,-5.932,-6.0538,8.6626,19.26379
1272-128104-0005,spk_1272,dropout,mild,95996,-23.7792,-23.7894,-5.932,-5.932,26.3071,0.194359
1272-128104-0005,spk_1272,dropout,medium,102746,-23.7792,-23.8026,-5.932,-5.932,22.7035,1.020974
1272-128104-0005,spk_1272,dropout,severe,98164,-23.7792,-24.3936,-5.932,-5.932,8.7972,4.29951
1272-128104-0005,spk_1272,reverberation,mild,95751,-23.7792,-18.9778,-5.932,0.0,-5.8494,5.593145
1272-128104-0005,spk_1272,reverberation,medium,97397,-23.7792,-18.1862,-5.932,0.0,-7.0256,9.144673
1272-128104-0005,spk_1272,reverberation,severe,96303,-23.7792,-19.8691,-5.932,0.0,-5.8757,12.271835
1272-128104-0006,spk_1272,additive_noise,mild,34078,-25.0848,-25.0424,-8.1174,-7.9661,20.0,9.863533
1272-128104-0006,spk_1272,additive_noise,medium,37340,-25.0848,-24.678,-8.1174,-7.459,10.0,16.267902
1272-128104-0006,spk_1272,additive_noise,severe,34630,-25.0848,-22.0713,-8.1174,-7.6255,-0.0,24.11536
1272-128104-0006,spk_1272,clipping,mild,36631,-25.0848,-25.0848,-8.1174,-8.1174,100.0,0.0
1272-128104-0006,spk_1272,clipping,medium,41765,-25.0848,-25.0854,-8.1174,-9.1186,51.6488,0.007177
1272-128104-0006,spk_1272,clipping,severe,37183,-25.0848,-25.8025,-8.1174,-16.4782,15.7793,2.641428
1272-128104-0006,spk_1272,bandwidth,mild,41694,-25.0848,-25.4802,-8.1174,-9.9431,11.0421,10.03956
1272-128104-0006,spk_1272,bandwidth,medium,36828,-25.0848,-25.5208,-8.1174,-9.9517,10.3356,12.349635
1272-128104-0006,spk_1272,bandwidth,severe,32246,-25.0848,-25.5549,-8.1174,-10.1469,9.9642,19.523708
1272-128104-0006,spk_1272,dropout,mild,33166,-25.0848,-25.2649,-8.1174,-8.1174,13.9133,0.341284
1272-128104-0006,spk_1272,dropout,medium,39916,-25.0848,-25.2162,-8.1174,-9.8538,15.2578,1.621501
1272-128104-0006,spk_1272,dropout,severe,35334,-25.0848,-25.1746,-8.1174,-8.1174,16.8921,4.31705
1272-128104-0006,spk_1272,reverberation,mild,32921,-25.0848,-17.9583,-8.1174,0.0,-7.0655,5.403525
1272-128104-0006,spk_1272,reverberation,medium,34567,-25.0848,-17.0061,-8.1174,0.0,-8.5258,8.408273
1272-128104-0006,spk_1272,reverberation,severe,33473,-25.0848,-17.9019,-8.1174,0.0,-7.3134,11.167459
1272-128104-0007,spk_1272,additive_noise,mild,53155,-23.3605,-23.3195,-4.301,-4.0964,20.0,11.710988
1272-128104-0007,spk_1272,additive_noise,medium,56417,-23.3605,-22.9353,-4.301,-4.1608,10.0,18.289902
1272-128104-0007,spk_1272,additive_noise,severe,53707,-23.3605,-20.3445,-4.301,-3.6055,-0.0,26.324308
1272-128104-0007,spk_1272,clipping,mild,55708,-23.3605,-23.3606,-4.301,-4.437,67.4896,0.001972
1272-128104-0007,spk_1272,clipping,medium,60842,-23.3605,-23.4616,-4.301,-9.1186,24.936,1.838152
1272-128104-0007,spk_1272,clipping,severe,56260,-23.3605,-24.7887,-4.301,-16.4782,11.0052,6.887328
1272-128104-0007,spk_1272,bandwidth,mild,60771,-23.3605,-23.631,-4.301,-4.7767,12.5121,9.191499
1272-128104-0007,spk_1272,bandwidth,medium,55905,-23.3605,-23.6556,-4.301,-4.8375,11.9533,11.297287
1272-128104-0007,spk_1272,bandwidth,severe,51323,-23.3605,-23.6998,-4.301,-4.5794,11.3757,17.842907
1272-128104-0007,spk_1272,dropout,mild,52243,-23.3605,-23.3605,-4.301,-4.301,65.2693,0.100001
1272-128104-0007,spk_1272,dropout,medium,58993,-23.3605,-23.4287,-4.301,-4.301,18.0697,1.040195
1272-128104-0007,spk_1272,dropout,severe,54411,-23.3605,-24.0135,-4.301,-4.301,8.5508,4.293103
1272-128104-0007,spk_1272,reverberation,mild,51998,-23.3605,-19.8714,-4.301,0.0,-5.1371,5.364721
1272-128104-0007,spk_1272,reverberation,medium,53644,-23.3605,-18.41,-4.301,0.0,-5.9657,8.613007
1272-128104-0007,spk_1272,reverberation,severe,52550,-23.3605,-18.1144,-4.301,0.0,-5.5541,12.372603
1272-128104-0008,spk_1272,additive_noise,mild,33980,-23.8293,-23.7896,-8.0898,-8.1075,20.0,12.683299
1272-128104-0008,spk_1272,additive_noise,medium,37242,-23.8293,-23.4134,-8.0898,-7.9678,10.0,19.473776
1272-128104-0008,spk_1272,additive_noise,severe,34532,-23.8293,-20.8453,-8.0898,-6.8188,-0.0,27.679714
1272-128104-0008,spk_1272,clipping,mild,36533,-23.8293,-23.8293,-8.0898,-8.0898,100.0,0.0
1272-128104-0008,spk_1272,clipping,medium,41667,-23.8293,-23.8314,-8.0898,-9.1186,47.0267,0.009371
1272-128104-0008,spk_1272,clipping,severe,37085,-23.8293,-25.2479,-8.0898,-16.4782,11.9415,4.523539
1272-128104-0008,spk_1272,bandwidth,mild,41596,-23.8293,-24.3516,-8.0898,-8.6608,9.6816,9.058469
1272-128104-0008,spk_1272,bandwidth,medium,36730,-23.8293,-24.396,-8.0898,-8.6626,9.2779,11.130955
1272-128104-0008,spk_1272,bandwidth,severe,32148,-23.8293,-24.4593,-8.0898,-8.5299,8.7771,17.541613
1272-128104-0008,spk_1272,dropout,mild,33068,-23.8293,-23.8294,-8.0898,-8.0898,50.4299,0.199916
1272-128104-0008,spk_1272,dropout,medium,39818,-23.8293,-24.497,-8.0898,-8.0898,8.462,3.392923
1272-128104-0008,spk_1272,dropout,severe,35236,-23.8293,-24.3363,-8.0898,-8.0898,9.5794,6.340164
1272-128104-0008,spk_1272,reverberation,mild,32823,-23.8293,-15.962,-8.0898,0.0,-8.0826,6.588855
1272-128104-0008,spk_1272,reverberation,medium,34469,-23.8293,-18.4377,-8.0898,0.0,-7.2331,9.502365
1272-128104-0008,spk_1272,reverberation,severe,33375,-23.8293,-16.6616,-8.0898,0.0,-7.4362,13.24516
1272-128104-0009,spk_1272,additive_noise,mild,33004,-23.0042,-22.9627,-4.2338,-4.2656,20.0,9.900683
1272-128104-0009,spk_1272,additive_noise,medium,36266,-23.0042,-22.5937,-4.2338,-3.7429,10.0,16.220984
1272-128104-0009,spk_1272,additive_noise,severe,33556,-23.0042,-19.9888,-4.2338,-3.2742,0.0,24.312323
1272-128104-0009,spk_1272,clipping,mild,35557,-23.0042,-23.0043,-4.2338,-4.437,66.2648,0.008947
1272-128104-0009,spk_1272,clipping,medium,40691,-23.0042,-23.051,-4.2338,-9.1186,28.4105,0.978092
1272-128104-0009,spk_1272,clipping,severe,36109,-23.0042,-24.3912,-4.2338,-16.4782,11.529,4.87965
1272-128104-0009,spk_1272,bandwidth,mild,40620,-23.0042,-23.2533,-4.2338,-4.1991,12.7491,9.592132
1272-128104-0009,spk_1272,bandwidth,medium,35754,-23.0042,-23.2742,-4.2338,-4.1914,12.3474,11.845075
1272-128104-0009,spk_1272,bandwidth,severe,31172,-23.0042,-23.3143,-4.2338,-4.1746,11.7986,18.801134
1272-128104-0009,spk_1272,dropout,mild,32092,-23.0042,-23.0117,-4.2338,-4.2338,27.6312,0.099709
1272-128104-0009,spk_1272,dropout,medium,38842,-23.0042,-23.0203,-4.2338,-4.2338,24.3174,0.457078
1272-128104-0009,spk_1272,dropout,severe,34260,-23.0042,-23.2148,-4.2338,-4.2338,13.2492,1.831976
1272-128104-0009,spk_1272,reverberation,mild,31847,-23.0042,-20.6474,-4.2338,0.0,-3.8184,5.459457
1272-128104-0009,spk_1272,reverberation,medium,33493,-23.0042,-19.1416,-4.2338,0.0,-4.9017,9.002279
1272-128104-0009,spk_1272,reverberation,severe,32399,-23.0042,-18.0995,-4.2338,0.0,-6.1766,10.855878
